item_id,source_page,book_part,foundation,chapter_number,chapter_title,chapter_pillar,subpillar,subpillar_logic,tool_class,clean_title,practical_guidance,practical_logic,what_this_is_for,example_1,example_2,minto_governing_thought,minto_level_1,minto_level_2,minto_level_3,minto_level_4,minto_level_5,minto_supporting_logic,minto_path,primary_category,item_type,confidence_score,source_anchor
28,23,Part One: Lead with Presence,Presence,1,The Center of Our Lives,Communication foundations and the central role of speech,Needs and values,Identify the deeper need or value beneath the reaction.,Principle,Principle — Needs and values — p.23,Identify the underlying need or value driving the reaction. Treat it as a rule of thumb that organizes the surrounding practices.,Identify the underlying need or value driving the reaction.,Rule of thumb that organizes practice.,“I am upset because I need reliability” is more useful than “You just do not care.”,"A conflict about lateness may actually point to needs for trust, rest, or predictability.","Skillful communication becomes more effective when you build it from foundation to practice: presence, intention, attention, and live integration.",Skillful communication,Presence,The Center of Our Lives,Needs and values,Principle,Identify the deeper need or value beneath the reaction.,Skillful communication > Presence > The Center of Our Lives > Needs and values > Principle,needs_values,principle,18,"again. Remember that each small success, every interaction in which you are"
247,34,Part One: Lead with Presence,Presence,1,The Center of Our Lives,Communication foundations and the central role of speech,Needs and values,Identify the deeper need or value beneath the reaction.,Step-by-step process,social anxiety,Identify the underlying need or value driving the reaction. Apply it as a sequence rather than a one-off insight.,Identify the underlying need or value driving the reaction.,Sequenced method to apply in conversation.,“I am upset because I need reliability” is more useful than “You just do not care.”,"A conflict about lateness may actually point to needs for trust, rest, or predictability.","Skillful communication becomes more effective when you build it from foundation to practice: presence, intention, attention, and live integration.",Skillful communication,Presence,The Center of Our Lives,Needs and values,Step-by-step process,Identify the deeper need or value beneath the reaction.,Skillful communication > Presence > The Center of Our Lives > Needs and values > Step-by-step process,needs_values,step_process,14,social anxiety. Pausing helped her choose more carefully what she wanted to
320,29,Part One: Lead with Presence,Presence,1,The Center of Our Lives,Communication foundations and the central role of speech,Observation and clarity,Separate observation from judgment or interpretation.,Principle,Yet human communication involves so much more than what we say,Separate what happened from the interpretation you attach to it before speaking. Treat it as a rule of thumb that organizes the surrounding practices.,Separate what happened from the interpretation you attach to it before speaking.,Rule of thumb that organizes practice.,"Instead of “You never listen,” say “When I was halfway through my point and the topic changed, I felt cut off.”","Instead of “She was rude,” say “She interrupted me twice before I finished my sentence.”","Skillful communication becomes more effective when you build it from foundation to practice: presence, intention, attention, and live integration.",Skillful communication,Presence,The Center of Our Lives,Observation and clarity,Principle,Separate observation from judgment or interpretation.,Skillful communication > Presence > The Center of Our Lives > Observation and clarity > Principle,observation_vs_evaluation,principle,14,Yet human communication involves so much more than what we say. It
3,26,Part One: Lead with Presence,Presence,1,The Center of Our Lives,Communication foundations and the central role of speech,Observation and clarity,Separate observation from judgment or interpretation.,Tool or guideline,Tool or guideline — Observation and clarity — p.26,Separate what happened from the interpretation you attach to it before speaking.,Separate what happened from the interpretation you attach to it before speaking.,Practical move for clearer communication.,"Instead of “You never listen,” say “When I was halfway through my point and the topic changed, I felt cut off.”","Instead of “She was rude,” say “She interrupted me twice before I finished my sentence.”","Skillful communication becomes more effective when you build it from foundation to practice: presence, intention, attention, and live integration.",Skillful communication,Presence,The Center of Our Lives,Observation and clarity,Tool or guideline,Separate observation from judgment or interpretation.,Skillful communication > Presence > The Center of Our Lives > Observation and clarity > Tool or guideline,observation_vs_evaluation,technique_or_guideline,12,1 the center of our lives Language is very powerful. Language does
232,21,Part One: Lead with Presence,Presence,1,The Center of Our Lives,Communication foundations and the central role of speech,Requests and agreements,"Translate needs into specific, doable, present-tense asks.",Assessment or reflection,requests for privacy.) Throughout the text you’ll find key terms related to mindful communication,"Turn the need into a concrete, specific, doable request. Use it to assess your default pattern before changing behavior.","Turn the need into a concrete, specific, doable request.",Prompt to assess your current pattern.,“Would you text me by 5 if you will be late?” is a workable request.,“Can we take ten minutes tonight to plan the school run?” is clearer than “Be more supportive.”,"Skillful communication becomes more effective when you build it from foundation to practice: presence, intention, attention, and live integration.",Skillful communication,Presence,The Center of Our Lives,Requests and agreements,Assessment or reflection,"Translate needs into specific, doable, present-tense asks.",Skillful communication > Presence > The Center of Our Lives > Requests and agreements > Assessment or reflection,requests,assessment_or_reflection,28,requests for privacy.) Throughout the text you’ll find key terms related to
170,38,Part One: Lead with Presence,Presence,2,The Power of Mindfulness,"Mindfulness, pausing, grounding, and embodied awareness",Emotional literacy,Name real feelings clearly and use them as data.,Principle,Mindfulness gives us back our lives,Name the actual feeling rather than a thought or accusation. Treat it as a rule of thumb that organizes the surrounding practices.,Name the actual feeling rather than a thought or accusation.,Rule of thumb that organizes practice.,“I feel anxious about tomorrow’s meeting” is clearer than “I feel ignored.”,"A parent might say, “I feel overwhelmed and tired,” rather than “You are impossible tonight.”","Skillful communication becomes more effective when you build it from foundation to practice: presence, intention, attention, and live integration.",Skillful communication,Presence,The Power of Mindfulness,Emotional literacy,Principle,Name real feelings clearly and use them as data.,Skillful communication > Presence > The Power of Mindfulness > Emotional literacy > Principle,feelings,principle,12,Mindfulness gives us back our lives. It’s what allows us to enjoy
166,51,Part One: Lead with Presence,Presence,2,The Power of Mindfulness,"Mindfulness, pausing, grounding, and embodied awareness",Emotional literacy,Name real feelings clearly and use them as data.,Principle,"long, quiet moment",Name the actual feeling rather than a thought or accusation. Treat it as a rule of thumb that organizes the surrounding practices.,Name the actual feeling rather than a thought or accusation.,Rule of thumb that organizes practice.,“I feel anxious about tomorrow’s meeting” is clearer than “I feel ignored.”,"A parent might say, “I feel overwhelmed and tired,” rather than “You are impossible tonight.”","Skillful communication becomes more effective when you build it from foundation to practice: presence, intention, attention, and live integration.",Skillful communication,Presence,The Power of Mindfulness,Emotional literacy,Principle,Name real feelings clearly and use them as data.,Skillful communication > Presence > The Power of Mindfulness > Emotional literacy > Principle,feelings,principle,19,"long, quiet moment. It was a wordless goodbye and the most meaningful"
91,39,Part One: Lead with Presence,Presence,2,The Power of Mindfulness,"Mindfulness, pausing, grounding, and embodied awareness",Emotional literacy,Name real feelings clearly and use them as data.,Step-by-step process,"energy, compared to how we waste energy when mindless",Name the actual feeling rather than a thought or accusation. Apply it as a sequence rather than a one-off insight.,Name the actual feeling rather than a thought or accusation.,Sequenced method to apply in conversation.,“I feel anxious about tomorrow’s meeting” is clearer than “I feel ignored.”,"A parent might say, “I feel overwhelmed and tired,” rather than “You are impossible tonight.”","Skillful communication becomes more effective when you build it from foundation to practice: presence, intention, attention, and live integration.",Skillful communication,Presence,The Power of Mindfulness,Emotional literacy,Step-by-step process,Name real feelings clearly and use them as data.,Skillful communication > Presence > The Power of Mindfulness > Emotional literacy > Step-by-step process,feelings,step_process,22,"energy, compared to how we waste energy when mindless. How often do"
101,46,Part One: Lead with Presence,Presence,2,The Power of Mindfulness,"Mindfulness, pausing, grounding, and embodied awareness",Emotional literacy,Name real feelings clearly and use them as data.,Step-by-step process,Feel any sensations of weight or heaviness in your body,Name the actual feeling rather than a thought or accusation. Apply it as a sequence rather than a one-off insight.,Name the actual feeling rather than a thought or accusation.,Sequenced method to apply in conversation.,“I feel anxious about tomorrow’s meeting” is clearer than “I feel ignored.”,"A parent might say, “I feel overwhelmed and tired,” rather than “You are impossible tonight.”","Skillful communication becomes more effective when you build it from foundation to practice: presence, intention, attention, and live integration.",Skillful communication,Presence,The Power of Mindfulness,Emotional literacy,Step-by-step process,Name real feelings clearly and use them as data.,Skillful communication > Presence > The Power of Mindfulness > Emotional literacy > Step-by-step process,feelings,step_process,16,Feel any sensations of weight or heaviness in your body. You might
45,40,Part One: Lead with Presence,Presence,2,The Power of Mindfulness,"Mindfulness, pausing, grounding, and embodied awareness",Emotional literacy,Name real feelings clearly and use them as data.,Practice or exercise,"aware of these sensations a few moments ago, before I suggested it?",Name the actual feeling rather than a thought or accusation.,Name the actual feeling rather than a thought or accusation.,Repeatable training drill or reflection exercise.,“I feel anxious about tomorrow’s meeting” is clearer than “I feel ignored.”,"A parent might say, “I feel overwhelmed and tired,” rather than “You are impossible tonight.”","Skillful communication becomes more effective when you build it from foundation to practice: presence, intention, attention, and live integration.",Skillful communication,Presence,The Power of Mindfulness,Emotional literacy,Practice or exercise,Name real feelings clearly and use them as data.,Skillful communication > Presence > The Power of Mindfulness > Emotional literacy > Practice or exercise,feelings,exercise_or_practice,22,"aware of these sensations a few moments ago, before I suggested it?"
48,41,Part One: Lead with Presence,Presence,2,The Power of Mindfulness,"Mindfulness, pausing, grounding, and embodied awareness",Emotional literacy,Name real feelings clearly and use them as data.,Practice or exercise,Being in nature •Touch •Music •Sunshine •Rain •Beauty MAY DISCONNECT YOU FROM PRESENCE •Stress,Name the actual feeling rather than a thought or accusation.,Name the actual feeling rather than a thought or accusation.,Repeatable training drill or reflection exercise.,“I feel anxious about tomorrow’s meeting” is clearer than “I feel ignored.”,"A parent might say, “I feel overwhelmed and tired,” rather than “You are impossible tonight.”","Skillful communication becomes more effective when you build it from foundation to practice: presence, intention, attention, and live integration.",Skillful communication,Presence,The Power of Mindfulness,Emotional literacy,Practice or exercise,Name real feelings clearly and use them as data.,Skillful communication > Presence > The Power of Mindfulness > Emotional literacy > Practice or exercise,feelings,exercise_or_practice,9,•Being in nature •Touch •Music •Sunshine •Rain •Beauty MAY DISCONNECT YOU FROM
316,44,Part One: Lead with Presence,Presence,2,The Power of Mindfulness,"Mindfulness, pausing, grounding, and embodied awareness",Emotional literacy,Name real feelings clearly and use them as data.,Practice or exercise,with oneself about what’s happening,Name the actual feeling rather than a thought or accusation.,Name the actual feeling rather than a thought or accusation.,Repeatable training drill or reflection exercise.,“I feel anxious about tomorrow’s meeting” is clearer than “I feel ignored.”,"A parent might say, “I feel overwhelmed and tired,” rather than “You are impossible tonight.”","Skillful communication becomes more effective when you build it from foundation to practice: presence, intention, attention, and live integration.",Skillful communication,Presence,The Power of Mindfulness,Emotional literacy,Practice or exercise,Name real feelings clearly and use them as data.,Skillful communication > Presence > The Power of Mindfulness > Emotional literacy > Practice or exercise,feelings,exercise_or_practice,24,with oneself about what’s happening. The Oil Light: Presence and Reactivity I
281,45,Part One: Lead with Presence,Presence,2,The Power of Mindfulness,"Mindfulness, pausing, grounding, and embodied awareness",Emotional literacy,Name real feelings clearly and use them as data.,Practice or exercise,Practice or exercise — Emotional literacy — p.45,Name the actual feeling rather than a thought or accusation.,Name the actual feeling rather than a thought or accusation.,Repeatable training drill or reflection exercise.,“I feel anxious about tomorrow’s meeting” is clearer than “I feel ignored.”,"A parent might say, “I feel overwhelmed and tired,” rather than “You are impossible tonight.”","Skillful communication becomes more effective when you build it from foundation to practice: presence, intention, attention, and live integration.",Skillful communication,Presence,The Power of Mindfulness,Emotional literacy,Practice or exercise,Name real feelings clearly and use them as data.,Skillful communication > Presence > The Power of Mindfulness > Emotional literacy > Practice or exercise,feelings,exercise_or_practice,9,"to know. You can practice mindfulness—feeling your breath and body; noticing sounds,"
135,49,Part One: Lead with Presence,Presence,2,The Power of Mindfulness,"Mindfulness, pausing, grounding, and embodied awareness",Emotional literacy,Name real feelings clearly and use them as data.,Practice or exercise,I was nineteen when I started studying Buddhism in a monastery halfway around the,Name the actual feeling rather than a thought or accusation.,Name the actual feeling rather than a thought or accusation.,Repeatable training drill or reflection exercise.,“I feel anxious about tomorrow’s meeting” is clearer than “I feel ignored.”,"A parent might say, “I feel overwhelmed and tired,” rather than “You are impossible tonight.”","Skillful communication becomes more effective when you build it from foundation to practice: presence, intention, attention, and live integration.",Skillful communication,Presence,The Power of Mindfulness,Emotional literacy,Practice or exercise,Name real feelings clearly and use them as data.,Skillful communication > Presence > The Power of Mindfulness > Emotional literacy > Practice or exercise,feelings,exercise_or_practice,24,I was nineteen when I started studying Buddhism in a monastery halfway
224,53,Part One: Lead with Presence,Presence,2,The Power of Mindfulness,"Mindfulness, pausing, grounding, and embodied awareness",Emotional literacy,Name real feelings clearly and use them as data.,Practice or exercise,"race, class, or other aspects of our social location",Name the actual feeling rather than a thought or accusation.,Name the actual feeling rather than a thought or accusation.,Repeatable training drill or reflection exercise.,“I feel anxious about tomorrow’s meeting” is clearer than “I feel ignored.”,"A parent might say, “I feel overwhelmed and tired,” rather than “You are impossible tonight.”","Skillful communication becomes more effective when you build it from foundation to practice: presence, intention, attention, and live integration.",Skillful communication,Presence,The Power of Mindfulness,Emotional literacy,Practice or exercise,Name real feelings clearly and use them as data.,Skillful communication > Presence > The Power of Mindfulness > Emotional literacy > Practice or exercise,feelings,exercise_or_practice,10,"race, class, or other aspects of our social location. It’s important to"
183,43,Part One: Lead with Presence,Presence,2,The Power of Mindfulness,"Mindfulness, pausing, grounding, and embodied awareness",Emotional literacy,Name real feelings clearly and use them as data.,Assessment or reflection,"Notice the bare experience of seeing: shapes, color, light, lines",Name the actual feeling rather than a thought or accusation. Use it to assess your default pattern before changing behavior.,Name the actual feeling rather than a thought or accusation.,Prompt to assess your current pattern.,“I feel anxious about tomorrow’s meeting” is clearer than “I feel ignored.”,"A parent might say, “I feel overwhelmed and tired,” rather than “You are impossible tonight.”","Skillful communication becomes more effective when you build it from foundation to practice: presence, intention, attention, and live integration.",Skillful communication,Presence,The Power of Mindfulness,Emotional literacy,Assessment or reflection,Name real feelings clearly and use them as data.,Skillful communication > Presence > The Power of Mindfulness > Emotional literacy > Assessment or reflection,feelings,assessment_or_reflection,22,"Notice the bare experience of seeing: shapes, color, light, lines. Where are"
124,47,Part One: Lead with Presence,Presence,2,The Power of Mindfulness,"Mindfulness, pausing, grounding, and embodied awareness",Emotional literacy,Name real feelings clearly and use them as data.,Assessment or reflection,"helps you connect most naturally with presence, that sense of being here in a",Name the actual feeling rather than a thought or accusation. Use it to assess your default pattern before changing behavior.,Name the actual feeling rather than a thought or accusation.,Prompt to assess your current pattern.,“I feel anxious about tomorrow’s meeting” is clearer than “I feel ignored.”,"A parent might say, “I feel overwhelmed and tired,” rather than “You are impossible tonight.”","Skillful communication becomes more effective when you build it from foundation to practice: presence, intention, attention, and live integration.",Skillful communication,Presence,The Power of Mindfulness,Emotional literacy,Assessment or reflection,Name real feelings clearly and use them as data.,Skillful communication > Presence > The Power of Mindfulness > Emotional literacy > Assessment or reflection,feelings,assessment_or_reflection,22,"helps you connect most naturally with presence, that sense of being here"
220,52,Part One: Lead with Presence,Presence,2,The Power of Mindfulness,"Mindfulness, pausing, grounding, and embodied awareness",Emotional literacy,Name real feelings clearly and use them as data.,Assessment or reflection,"Q: Sometimes I feel really present with what someone is saying, but I might",Name the actual feeling rather than a thought or accusation. Use it to assess your default pattern before changing behavior.,Name the actual feeling rather than a thought or accusation.,Prompt to assess your current pattern.,“I feel anxious about tomorrow’s meeting” is clearer than “I feel ignored.”,"A parent might say, “I feel overwhelmed and tired,” rather than “You are impossible tonight.”","Skillful communication becomes more effective when you build it from foundation to practice: presence, intention, attention, and live integration.",Skillful communication,Presence,The Power of Mindfulness,Emotional literacy,Assessment or reflection,Name real feelings clearly and use them as data.,Skillful communication > Presence > The Power of Mindfulness > Emotional literacy > Assessment or reflection,feelings,assessment_or_reflection,18,"Q: Sometimes I feel really present with what someone is saying, but"
12,37,Part One: Lead with Presence,Presence,2,The Power of Mindfulness,"Mindfulness, pausing, grounding, and embodied awareness",Mindfulness and regulation,"Pause, breathe, ground, and regulate before speaking.",Principle,Principle — Mindfulness and regulation — p.37,"Use a brief pause, breath, or body awareness practice to reduce reactivity. Treat it as a rule of thumb that organizes the surrounding practices.","Use a brief pause, breath, or body awareness practice to reduce reactivity.",Rule of thumb that organizes practice.,"During an argument, pause for one slow inhale and exhale before answering.",Notice tension in the jaw or chest as an early cue that reactivity is rising.,"Skillful communication becomes more effective when you build it from foundation to practice: presence, intention, attention, and live integration.",Skillful communication,Presence,The Power of Mindfulness,Mindfulness and regulation,Principle,"Pause, breathe, ground, and regulate before speaking.",Skillful communication > Presence > The Power of Mindfulness > Mindfulness and regulation > Principle,mindfulness_pause,principle,10,2 the power of mindfulness There is something mysterious and sacred about
206,45,Part One: Lead with Presence,Presence,2,The Power of Mindfulness,"Mindfulness, pausing, grounding, and embodied awareness",Mindfulness and regulation,"Pause, breathe, ground, and regulate before speaking.",Practice or exercise,PRACTICE: Grounding in the Body Method 1: Finding Gravity Sit comfortably,"Use a brief pause, breath, or body awareness practice to reduce reactivity.","Use a brief pause, breath, or body awareness practice to reduce reactivity.",Repeatable training drill or reflection exercise.,"During an argument, pause for one slow inhale and exhale before answering.",Notice tension in the jaw or chest as an early cue that reactivity is rising.,"Skillful communication becomes more effective when you build it from foundation to practice: presence, intention, attention, and live integration.",Skillful communication,Presence,The Power of Mindfulness,Mindfulness and regulation,Practice or exercise,"Pause, breathe, ground, and regulate before speaking.",Skillful communication > Presence > The Power of Mindfulness > Mindfulness and regulation > Practice or exercise,mindfulness_pause,exercise_or_practice,6,PRACTICE: Grounding in the Body Method 1: Finding Gravity Sit comfortably. Start
98,42,Part One: Lead with Presence,Presence,2,The Power of Mindfulness,"Mindfulness, pausing, grounding, and embodied awareness",Needs and values,Identify the deeper need or value beneath the reaction.,Practice or exercise,experience and at herself for not speaking up,Identify the underlying need or value driving the reaction.,Identify the underlying need or value driving the reaction.,Repeatable training drill or reflection exercise.,“I am upset because I need reliability” is more useful than “You just do not care.”,"A conflict about lateness may actually point to needs for trust, rest, or predictability.","Skillful communication becomes more effective when you build it from foundation to practice: presence, intention, attention, and live integration.",Skillful communication,Presence,The Power of Mindfulness,Needs and values,Practice or exercise,Identify the deeper need or value beneath the reaction.,Skillful communication > Presence > The Power of Mindfulness > Needs and values > Practice or exercise,needs_values,exercise_or_practice,20,experience and at herself for not speaking up. In my fixation to
61,50,Part One: Lead with Presence,Presence,2,The Power of Mindfulness,"Mindfulness, pausing, grounding, and embodied awareness",Observation and clarity,Separate observation from judgment or interpretation.,Principle,communication habits have great momentum; recall the analogy of turning a ship at sea,Separate what happened from the interpretation you attach to it before speaking. Treat it as a rule of thumb that organizes the surrounding practices.,Separate what happened from the interpretation you attach to it before speaking.,Rule of thumb that organizes practice.,"Instead of “You never listen,” say “When I was halfway through my point and the topic changed, I felt cut off.”","Instead of “She was rude,” say “She interrupted me twice before I finished my sentence.”","Skillful communication becomes more effective when you build it from foundation to practice: presence, intention, attention, and live integration.",Skillful communication,Presence,The Power of Mindfulness,Observation and clarity,Principle,Separate observation from judgment or interpretation.,Skillful communication > Presence > The Power of Mindfulness > Observation and clarity > Principle,observation_vs_evaluation,principle,14,communication habits have great momentum; recall the analogy of turning a ship
