insight_id,insight_date,source,source_type,theme,region_std,lifecycle_stage,category,statement,so_what,confidence
I0032,2026-08-09,Validated model,Analysis,Capture,EMEAA,BUILD,,EMEAA captures 5.73% — $163.8m of $2.86bn directly addressable. That is mid-table on capture.,$2.69bn of headroom in EMEAA.,High
I0033,2026-08-09,Validated model,Analysis,Capture,EMEAA,OPEN,,EMEAA captures 5.73% — $163.8m of $2.86bn directly addressable. That is mid-table on capture.,$2.69bn of headroom in EMEAA.,High
I0034,2026-08-09,Validated model,Analysis,Capture,EMEAA,OPERATE,,EMEAA captures 5.73% — $163.8m of $2.86bn directly addressable. That is mid-table on capture.,$2.69bn of headroom in EMEAA.,High
I0035,2026-08-09,Validated model,Analysis,Capture,EMEAA,IT/TELECOM,,EMEAA captures 5.73% — $163.8m of $2.86bn directly addressable. That is mid-table on capture.,$2.69bn of headroom in EMEAA.,High
I0036,2026-08-09,Validated model,Analysis,Capture,GC,BUILD,,GC captures 3.81% — $92.9m of $2.43bn directly addressable. That is the weakest capture rate of the three regions.,$2.34bn of headroom in GC.,High
I0037,2026-08-09,Validated model,Analysis,Capture,GC,OPEN,,GC captures 3.81% — $92.9m of $2.43bn directly addressable. That is the weakest capture rate of the three regions.,$2.34bn of headroom in GC.,High
I0038,2026-08-09,Validated model,Analysis,Capture,GC,OPERATE,,GC captures 3.81% — $92.9m of $2.43bn directly addressable. That is the weakest capture rate of the three regions.,$2.34bn of headroom in GC.,High
I0039,2026-08-09,Validated model,Analysis,Capture,GC,IT/TELECOM,,GC captures 3.81% — $92.9m of $2.43bn directly addressable. That is the weakest capture rate of the three regions.,$2.34bn of headroom in GC.,High
I0040,2026-08-09,Validated model,Analysis,Data quality,AMER,BUILD,,"Region on the programme-spend file is derived from the hotel master, not from the file's own AMER / ASIA / EUROPE labels — those do not match IHG's structure.",The earlier approximation understated EMEAA by 44% and overstated Greater China by 35%. Any new source file must be re-mapped through Dim_Hotel the same way.,High
I0041,2026-08-09,Validated model,Analysis,Data quality,AMER,OPEN,,"Region on the programme-spend file is derived from the hotel master, not from the file's own AMER / ASIA / EUROPE labels — those do not match IHG's structure.",The earlier approximation understated EMEAA by 44% and overstated Greater China by 35%. Any new source file must be re-mapped through Dim_Hotel the same way.,High
I0042,2026-08-09,Validated model,Analysis,Data quality,AMER,OPERATE,,"Region on the programme-spend file is derived from the hotel master, not from the file's own AMER / ASIA / EUROPE labels — those do not match IHG's structure.",The earlier approximation understated EMEAA by 44% and overstated Greater China by 35%. Any new source file must be re-mapped through Dim_Hotel the same way.,High
I0043,2026-08-09,Validated model,Analysis,Data quality,AMER,IT/TELECOM,,"Region on the programme-spend file is derived from the hotel master, not from the file's own AMER / ASIA / EUROPE labels — those do not match IHG's structure.",The earlier approximation understated EMEAA by 44% and overstated Greater China by 35%. Any new source file must be re-mapped through Dim_Hotel the same way.,High
I0044,2026-08-09,Validated model,Analysis,Data quality,EMEAA,BUILD,,"Region on the programme-spend file is derived from the hotel master, not from the file's own AMER / ASIA / EUROPE labels — those do not match IHG's structure.",The earlier approximation understated EMEAA by 44% and overstated Greater China by 35%. Any new source file must be re-mapped through Dim_Hotel the same way.,High
I0045,2026-08-09,Validated model,Analysis,Data quality,EMEAA,OPEN,,"Region on the programme-spend file is derived from the hotel master, not from the file's own AMER / ASIA / EUROPE labels — those do not match IHG's structure.",The earlier approximation understated EMEAA by 44% and overstated Greater China by 35%. Any new source file must be re-mapped through Dim_Hotel the same way.,High
I0046,2026-08-09,Validated model,Analysis,Data quality,EMEAA,OPERATE,,"Region on the programme-spend file is derived from the hotel master, not from the file's own AMER / ASIA / EUROPE labels — those do not match IHG's structure.",The earlier approximation understated EMEAA by 44% and overstated Greater China by 35%. Any new source file must be re-mapped through Dim_Hotel the same way.,High
I0047,2026-08-09,Validated model,Analysis,Data quality,EMEAA,IT/TELECOM,,"Region on the programme-spend file is derived from the hotel master, not from the file's own AMER / ASIA / EUROPE labels — those do not match IHG's structure.",The earlier approximation understated EMEAA by 44% and overstated Greater China by 35%. Any new source file must be re-mapped through Dim_Hotel the same way.,High
I0048,2026-08-09,Validated model,Analysis,Data quality,GC,BUILD,,"Region on the programme-spend file is derived from the hotel master, not from the file's own AMER / ASIA / EUROPE labels — those do not match IHG's structure.",The earlier approximation understated EMEAA by 44% and overstated Greater China by 35%. Any new source file must be re-mapped through Dim_Hotel the same way.,High
I0049,2026-08-09,Validated model,Analysis,Data quality,GC,OPEN,,"Region on the programme-spend file is derived from the hotel master, not from the file's own AMER / ASIA / EUROPE labels — those do not match IHG's structure.",The earlier approximation understated EMEAA by 44% and overstated Greater China by 35%. Any new source file must be re-mapped through Dim_Hotel the same way.,High
I0050,2026-08-09,Validated model,Analysis,Data quality,GC,OPERATE,,"Region on the programme-spend file is derived from the hotel master, not from the file's own AMER / ASIA / EUROPE labels — those do not match IHG's structure.",The earlier approximation understated EMEAA by 44% and overstated Greater China by 35%. Any new source file must be re-mapped through Dim_Hotel the same way.,High
I0051,2026-08-09,Validated model,Analysis,Data quality,GC,IT/TELECOM,,"Region on the programme-spend file is derived from the hotel master, not from the file's own AMER / ASIA / EUROPE labels — those do not match IHG's structure.",The earlier approximation understated EMEAA by 44% and overstated Greater China by 35%. Any new source file must be re-mapped through Dim_Hotel the same way.,High
I0052,2026-08-09,Validated model,Analysis,Capture,AMER,OPERATE,,OPERATE captures 11.73% — $826.5m of $7.05bn directly addressable.,$6.22bn of headroom in OPERATE.,High
I0053,2026-08-09,Validated model,Analysis,Capture,EMEAA,OPERATE,,OPERATE captures 11.73% — $826.5m of $7.05bn directly addressable.,$6.22bn of headroom in OPERATE.,High
I0054,2026-08-09,Validated model,Analysis,Capture,GC,OPERATE,,OPERATE captures 11.73% — $826.5m of $7.05bn directly addressable.,$6.22bn of headroom in OPERATE.,High
I0055,2026-08-09,Validated model,Analysis,Capture,AMER,OPEN,,OPEN captures 4.15% — $279.1m of $6.72bn directly addressable.,$6.44bn of headroom in OPEN.,High
I0056,2026-08-09,Validated model,Analysis,Capture,EMEAA,OPEN,,OPEN captures 4.15% — $279.1m of $6.72bn directly addressable.,$6.44bn of headroom in OPEN.,High
I0057,2026-08-09,Validated model,Analysis,Capture,GC,OPEN,,OPEN captures 4.15% — $279.1m of $6.72bn directly addressable.,$6.44bn of headroom in OPEN.,High
I0058,2026-08-09,Validated model,Analysis,Capture,AMER,IT/TELECOM,,IT/TELECOM captures 1.32% — $19.4m of $1.46bn directly addressable.,$1.44bn of headroom in IT/TELECOM.,High
I0059,2026-08-09,Validated model,Analysis,Capture,EMEAA,IT/TELECOM,,IT/TELECOM captures 1.32% — $19.4m of $1.46bn directly addressable.,$1.44bn of headroom in IT/TELECOM.,High
I0060,2026-08-09,Validated model,Analysis,Capture,GC,IT/TELECOM,,IT/TELECOM captures 1.32% — $19.4m of $1.46bn directly addressable.,$1.44bn of headroom in IT/TELECOM.,High
I0061,2026-08-09,Validated model,Analysis,Challenge,AMER,OPERATE,,"OPERATE is the strongest lifecycle stage at 11.73%, not the weakest.",The strategy deck says OPERATE is barely captured — that reading used the market-wide denominator. On the IHG directly-addressable basis the conclusion reverses. Worth settling before the narrative is repeated.,Needs review
I0062,2026-08-09,Validated model,Analysis,Challenge,EMEAA,OPERATE,,"OPERATE is the strongest lifecycle stage at 11.73%, not the weakest.",The strategy deck says OPERATE is barely captured — that reading used the market-wide denominator. On the IHG directly-addressable basis the conclusion reverses. Worth settling before the narrative is repeated.,Needs review
I0063,2026-08-09,Validated model,Analysis,Challenge,GC,OPERATE,,"OPERATE is the strongest lifecycle stage at 11.73%, not the weakest.",The strategy deck says OPERATE is barely captured — that reading used the market-wide denominator. On the IHG directly-addressable basis the conclusion reverses. Worth settling before the narrative is repeated.,Needs review
I0064,2026-08-09,Validated model,Analysis,Definition,AMER,BUILD,,$293.2m of programme spend (25.31%) sits in categories the market model does not treat as addressable — mostly HR.,"The headline capture rate of 7.60% counts spend its own denominator excludes. Like-for-like the rate is 5.68%. Either extend the market model to cover HR, Travel and Advisory, or report the like-for-like number.",Needs review
I0065,2026-08-09,Validated model,Analysis,Definition,AMER,OPEN,,$293.2m of programme spend (25.31%) sits in categories the market model does not treat as addressable — mostly HR.,"The headline capture rate of 7.60% counts spend its own denominator excludes. Like-for-like the rate is 5.68%. Either extend the market model to cover HR, Travel and Advisory, or report the like-for-like number.",Needs review
I0066,2026-08-09,Validated model,Analysis,Definition,AMER,OPERATE,,$293.2m of programme spend (25.31%) sits in categories the market model does not treat as addressable — mostly HR.,"The headline capture rate of 7.60% counts spend its own denominator excludes. Like-for-like the rate is 5.68%. Either extend the market model to cover HR, Travel and Advisory, or report the like-for-like number.",Needs review
I0067,2026-08-09,Validated model,Analysis,Definition,AMER,IT/TELECOM,,$293.2m of programme spend (25.31%) sits in categories the market model does not treat as addressable — mostly HR.,"The headline capture rate of 7.60% counts spend its own denominator excludes. Like-for-like the rate is 5.68%. Either extend the market model to cover HR, Travel and Advisory, or report the like-for-like number.",Needs review
I0068,2026-08-09,Validated model,Analysis,Definition,EMEAA,BUILD,,$293.2m of programme spend (25.31%) sits in categories the market model does not treat as addressable — mostly HR.,"The headline capture rate of 7.60% counts spend its own denominator excludes. Like-for-like the rate is 5.68%. Either extend the market model to cover HR, Travel and Advisory, or report the like-for-like number.",Needs review
I0069,2026-08-09,Validated model,Analysis,Definition,EMEAA,OPEN,,$293.2m of programme spend (25.31%) sits in categories the market model does not treat as addressable — mostly HR.,"The headline capture rate of 7.60% counts spend its own denominator excludes. Like-for-like the rate is 5.68%. Either extend the market model to cover HR, Travel and Advisory, or report the like-for-like number.",Needs review
I0070,2026-08-09,Validated model,Analysis,Definition,EMEAA,OPERATE,,$293.2m of programme spend (25.31%) sits in categories the market model does not treat as addressable — mostly HR.,"The headline capture rate of 7.60% counts spend its own denominator excludes. Like-for-like the rate is 5.68%. Either extend the market model to cover HR, Travel and Advisory, or report the like-for-like number.",Needs review
I0071,2026-08-09,Validated model,Analysis,Definition,EMEAA,IT/TELECOM,,$293.2m of programme spend (25.31%) sits in categories the market model does not treat as addressable — mostly HR.,"The headline capture rate of 7.60% counts spend its own denominator excludes. Like-for-like the rate is 5.68%. Either extend the market model to cover HR, Travel and Advisory, or report the like-for-like number.",Needs review
I0072,2026-08-09,Validated model,Analysis,Definition,GC,BUILD,,$293.2m of programme spend (25.31%) sits in categories the market model does not treat as addressable — mostly HR.,"The headline capture rate of 7.60% counts spend its own denominator excludes. Like-for-like the rate is 5.68%. Either extend the market model to cover HR, Travel and Advisory, or report the like-for-like number.",Needs review
I0073,2026-08-09,Validated model,Analysis,Definition,GC,OPEN,,$293.2m of programme spend (25.31%) sits in categories the market model does not treat as addressable — mostly HR.,"The headline capture rate of 7.60% counts spend its own denominator excludes. Like-for-like the rate is 5.68%. Either extend the market model to cover HR, Travel and Advisory, or report the like-for-like number.",Needs review
I0074,2026-08-09,Validated model,Analysis,Definition,GC,OPERATE,,$293.2m of programme spend (25.31%) sits in categories the market model does not treat as addressable — mostly HR.,"The headline capture rate of 7.60% counts spend its own denominator excludes. Like-for-like the rate is 5.68%. Either extend the market model to cover HR, Travel and Advisory, or report the like-for-like number.",Needs review
I0075,2026-08-09,Validated model,Analysis,Definition,GC,IT/TELECOM,,$293.2m of programme spend (25.31%) sits in categories the market model does not treat as addressable — mostly HR.,"The headline capture rate of 7.60% counts spend its own denominator excludes. Like-for-like the rate is 5.68%. Either extend the market model to cover HR, Travel and Advisory, or report the like-for-like number.",Needs review
I0076,2026-08-09,Validated model,Analysis,Headroom,AMER,BUILD,FF&E,"FF&E: $5.81bn directly addressable, $47.4m captured (0.82%) — $5.76bn headroom.",Rank 1 of 6 by headroom.,High
I0077,2026-08-09,Validated model,Analysis,Headroom,AMER,OPEN,FF&E,"FF&E: $5.81bn directly addressable, $47.4m captured (0.82%) — $5.76bn headroom.",Rank 1 of 6 by headroom.,High
I0078,2026-08-09,Validated model,Analysis,Headroom,AMER,OPERATE,FF&E,"FF&E: $5.81bn directly addressable, $47.4m captured (0.82%) — $5.76bn headroom.",Rank 1 of 6 by headroom.,High
I0079,2026-08-09,Validated model,Analysis,Headroom,AMER,IT/TELECOM,FF&E,"FF&E: $5.81bn directly addressable, $47.4m captured (0.82%) — $5.76bn headroom.",Rank 1 of 6 by headroom.,High
I0080,2026-08-09,Validated model,Analysis,Headroom,EMEAA,BUILD,FF&E,"FF&E: $5.81bn directly addressable, $47.4m captured (0.82%) — $5.76bn headroom.",Rank 1 of 6 by headroom.,High
I0081,2026-08-09,Validated model,Analysis,Headroom,EMEAA,OPEN,FF&E,"FF&E: $5.81bn directly addressable, $47.4m captured (0.82%) — $5.76bn headroom.",Rank 1 of 6 by headroom.,High
I0082,2026-08-09,Validated model,Analysis,Headroom,EMEAA,OPERATE,FF&E,"FF&E: $5.81bn directly addressable, $47.4m captured (0.82%) — $5.76bn headroom.",Rank 1 of 6 by headroom.,High
I0083,2026-08-09,Validated model,Analysis,Headroom,EMEAA,IT/TELECOM,FF&E,"FF&E: $5.81bn directly addressable, $47.4m captured (0.82%) — $5.76bn headroom.",Rank 1 of 6 by headroom.,High
I0084,2026-08-09,Validated model,Analysis,Headroom,GC,BUILD,FF&E,"FF&E: $5.81bn directly addressable, $47.4m captured (0.82%) — $5.76bn headroom.",Rank 1 of 6 by headroom.,High
I0085,2026-08-09,Validated model,Analysis,Headroom,GC,OPEN,FF&E,"FF&E: $5.81bn directly addressable, $47.4m captured (0.82%) — $5.76bn headroom.",Rank 1 of 6 by headroom.,High
I0086,2026-08-09,Validated model,Analysis,Headroom,GC,OPERATE,FF&E,"FF&E: $5.81bn directly addressable, $47.4m captured (0.82%) — $5.76bn headroom.",Rank 1 of 6 by headroom.,High
I0087,2026-08-09,Validated model,Analysis,Headroom,GC,IT/TELECOM,FF&E,"FF&E: $5.81bn directly addressable, $47.4m captured (0.82%) — $5.76bn headroom.",Rank 1 of 6 by headroom.,High
I0088,2026-08-09,Validated model,Analysis,Headroom,AMER,BUILD,F&B,"F&B: $3.29bn directly addressable, $434.9m captured (13.22%) — $2.85bn headroom.",Rank 2 of 6 by headroom.,High
I0089,2026-08-09,Validated model,Analysis,Headroom,AMER,OPEN,F&B,"F&B: $3.29bn directly addressable, $434.9m captured (13.22%) — $2.85bn headroom.",Rank 2 of 6 by headroom.,High
I0090,2026-08-09,Validated model,Analysis,Headroom,AMER,OPERATE,F&B,"F&B: $3.29bn directly addressable, $434.9m captured (13.22%) — $2.85bn headroom.",Rank 2 of 6 by headroom.,High
I0091,2026-08-09,Validated model,Analysis,Headroom,AMER,IT/TELECOM,F&B,"F&B: $3.29bn directly addressable, $434.9m captured (13.22%) — $2.85bn headroom.",Rank 2 of 6 by headroom.,High
I0092,2026-08-09,Validated model,Analysis,Headroom,EMEAA,BUILD,F&B,"F&B: $3.29bn directly addressable, $434.9m captured (13.22%) — $2.85bn headroom.",Rank 2 of 6 by headroom.,High
I0093,2026-08-09,Validated model,Analysis,Headroom,EMEAA,OPEN,F&B,"F&B: $3.29bn directly addressable, $434.9m captured (13.22%) — $2.85bn headroom.",Rank 2 of 6 by headroom.,High
I0094,2026-08-09,Validated model,Analysis,Headroom,EMEAA,OPERATE,F&B,"F&B: $3.29bn directly addressable, $434.9m captured (13.22%) — $2.85bn headroom.",Rank 2 of 6 by headroom.,High
I0095,2026-08-09,Validated model,Analysis,Headroom,EMEAA,IT/TELECOM,F&B,"F&B: $3.29bn directly addressable, $434.9m captured (13.22%) — $2.85bn headroom.",Rank 2 of 6 by headroom.,High
I0096,2026-08-09,Validated model,Analysis,Headroom,GC,BUILD,F&B,"F&B: $3.29bn directly addressable, $434.9m captured (13.22%) — $2.85bn headroom.",Rank 2 of 6 by headroom.,High
I0097,2026-08-09,Validated model,Analysis,Headroom,GC,OPEN,F&B,"F&B: $3.29bn directly addressable, $434.9m captured (13.22%) — $2.85bn headroom.",Rank 2 of 6 by headroom.,High
I0098,2026-08-09,Validated model,Analysis,Headroom,GC,OPERATE,F&B,"F&B: $3.29bn directly addressable, $434.9m captured (13.22%) — $2.85bn headroom.",Rank 2 of 6 by headroom.,High
I0099,2026-08-09,Validated model,Analysis,Headroom,GC,IT/TELECOM,F&B,"F&B: $3.29bn directly addressable, $434.9m captured (13.22%) — $2.85bn headroom.",Rank 2 of 6 by headroom.,High
I0100,2026-08-09,Validated model,Analysis,Headroom,AMER,BUILD,Energy,"Energy: $1.64bn directly addressable, $161.9m captured (9.85%) — $1.48bn headroom.",Rank 3 of 6 by headroom.,High
I0101,2026-08-09,Validated model,Analysis,Headroom,AMER,OPEN,Energy,"Energy: $1.64bn directly addressable, $161.9m captured (9.85%) — $1.48bn headroom.",Rank 3 of 6 by headroom.,High
I0102,2026-08-09,Validated model,Analysis,Headroom,AMER,OPERATE,Energy,"Energy: $1.64bn directly addressable, $161.9m captured (9.85%) — $1.48bn headroom.",Rank 3 of 6 by headroom.,High
I0103,2026-08-09,Validated model,Analysis,Headroom,AMER,IT/TELECOM,Energy,"Energy: $1.64bn directly addressable, $161.9m captured (9.85%) — $1.48bn headroom.",Rank 3 of 6 by headroom.,High
I0104,2026-08-09,Validated model,Analysis,Headroom,EMEAA,BUILD,Energy,"Energy: $1.64bn directly addressable, $161.9m captured (9.85%) — $1.48bn headroom.",Rank 3 of 6 by headroom.,High
I0105,2026-08-09,Validated model,Analysis,Headroom,EMEAA,OPEN,Energy,"Energy: $1.64bn directly addressable, $161.9m captured (9.85%) — $1.48bn headroom.",Rank 3 of 6 by headroom.,High
I0106,2026-08-09,Validated model,Analysis,Headroom,EMEAA,OPERATE,Energy,"Energy: $1.64bn directly addressable, $161.9m captured (9.85%) — $1.48bn headroom.",Rank 3 of 6 by headroom.,High
I0107,2026-08-09,Validated model,Analysis,Headroom,EMEAA,IT/TELECOM,Energy,"Energy: $1.64bn directly addressable, $161.9m captured (9.85%) — $1.48bn headroom.",Rank 3 of 6 by headroom.,High
I0108,2026-08-09,Validated model,Analysis,Headroom,GC,BUILD,Energy,"Energy: $1.64bn directly addressable, $161.9m captured (9.85%) — $1.48bn headroom.",Rank 3 of 6 by headroom.,High
I0109,2026-08-09,Validated model,Analysis,Headroom,GC,OPEN,Energy,"Energy: $1.64bn directly addressable, $161.9m captured (9.85%) — $1.48bn headroom.",Rank 3 of 6 by headroom.,High
I0110,2026-08-09,Validated model,Analysis,Headroom,GC,OPERATE,Energy,"Energy: $1.64bn directly addressable, $161.9m captured (9.85%) — $1.48bn headroom.",Rank 3 of 6 by headroom.,High
I0111,2026-08-09,Validated model,Analysis,Headroom,GC,IT/TELECOM,Energy,"Energy: $1.64bn directly addressable, $161.9m captured (9.85%) — $1.48bn headroom.",Rank 3 of 6 by headroom.,High
I0112,2026-08-09,Validated model,Analysis,Headroom,AMER,BUILD,OS&E,"OS&E: $1.62bn directly addressable, $109.2m captured (6.74%) — $1.51bn headroom.",Rank 4 of 6 by headroom.,High
I0113,2026-08-09,Validated model,Analysis,Headroom,AMER,OPEN,OS&E,"OS&E: $1.62bn directly addressable, $109.2m captured (6.74%) — $1.51bn headroom.",Rank 4 of 6 by headroom.,High
I0114,2026-08-09,Validated model,Analysis,Headroom,AMER,OPERATE,OS&E,"OS&E: $1.62bn directly addressable, $109.2m captured (6.74%) — $1.51bn headroom.",Rank 4 of 6 by headroom.,High
I0115,2026-08-09,Validated model,Analysis,Headroom,AMER,IT/TELECOM,OS&E,"OS&E: $1.62bn directly addressable, $109.2m captured (6.74%) — $1.51bn headroom.",Rank 4 of 6 by headroom.,High
I0116,2026-08-09,Validated model,Analysis,Headroom,EMEAA,BUILD,OS&E,"OS&E: $1.62bn directly addressable, $109.2m captured (6.74%) — $1.51bn headroom.",Rank 4 of 6 by headroom.,High
I0117,2026-08-09,Validated model,Analysis,Headroom,EMEAA,OPEN,OS&E,"OS&E: $1.62bn directly addressable, $109.2m captured (6.74%) — $1.51bn headroom.",Rank 4 of 6 by headroom.,High
I0118,2026-08-09,Validated model,Analysis,Headroom,EMEAA,OPERATE,OS&E,"OS&E: $1.62bn directly addressable, $109.2m captured (6.74%) — $1.51bn headroom.",Rank 4 of 6 by headroom.,High
I0119,2026-08-09,Validated model,Analysis,Headroom,EMEAA,IT/TELECOM,OS&E,"OS&E: $1.62bn directly addressable, $109.2m captured (6.74%) — $1.51bn headroom.",Rank 4 of 6 by headroom.,High
